epoch,R,loss,lr,val_R,val_loss
0,0.8749997370843913,0.3643899283044779,0.001,0.21460186360939726,0.31629154792387193
1,0.8934618084104706,0.21734400995615022,0.001,0.17181161464421615,0.24937174812163393
2,0.8962220445075559,0.20875341177945483,0.001,0.13120403718617937,0.29882465257015944
3,0.8969679887109404,0.20501318168863855,0.001,0.16269379931004488,0.3231661218690546
4,0.9025039628108129,0.18760973334152642,0.000100000005,0.22582668671256875,0.2552552105527218
5,0.904349801911106,0.1842991156328779,0.000100000005,0.22045207730915448,0.250884930503695
6,0.9045828936566617,0.18259390170708417,1.0000001e-05,0.22651348987670794,0.2449989735008511
7,0.9054796922941949,0.18131028263562488,1.0000001e-05,0.22805272335161084,0.2467367092530205
8,0.9058408232540611,0.18110482057921048,1.0000001e-05,0.2293494025883201,0.24429466447805706
9,0.9053563867113865,0.1814428046785155,1.0000001e-05,0.2291476729746959,0.24574555376008766
10,0.9056927100902588,0.1809802273163527,1.0000001e-05,0.22723794170489459,0.24607806581340425
11,0.9062295848498715,0.18027439815748791,1.0000001e-06,0.22770621460696605,0.24583721822255278
12,0.9062266040743197,0.18066233498800854,1.0000001e-06,0.22809680083843126,0.2457969682878011
13,0.9057869869646374,0.18054307014069673,1.0000001e-07,0.22813923387494806,0.2457823776321052
14,0.905506501664425,0.18048763646676777,1.0000001e-07,0.2281639607189453,0.24578145266293663
15,0.9057545961707271,0.17996890376304495,1.0000001e-08,0.22816718343186052,0.24578169947107362
16,0.9061161111890471,0.18021173708080926,1.0000001e-08,0.2281693305156819,0.2457810196821412
17,0.9060563351449634,0.1798054932429388,1.0000001e-09,0.2281695719655246,0.24578092519755232
18,0.9059934147880799,0.18040903338478334,1.0000001e-09,0.22816987229026345,0.24578088825083758
