time,velocity,density,density_new
0,7657.209,5.36E-12,4.49E-12
10,7656.958,5.23E-12,4.37E-12
20,7656.708,5.02E-12,4.17E-12
30,7656.462,4.73E-12,3.94E-12
40,7656.217,4.42E-12,3.68E-12
50,7655.976,4.06E-12,3.38E-12
60,7655.737,3.70E-12,3.08E-12
70,7655.5,3.56E-12,2.96E-12
80,7655.267,3.62E-12,3.02E-12
90,7655.036,3.73E-12,3.10E-12
100,7654.807,3.79E-12,3.16E-12
110,7654.582,3.76E-12,3.14E-12
120,7654.359,3.53E-12,2.95E-12
130,7654.139,3.24E-12,2.71E-12
140,7653.922,2.99E-12,2.51E-12
150,7653.707,2.76E-12,2.31E-12
160,7653.496,2.55E-12,2.14E-12
170,7653.287,2.45E-12,2.06E-12
180,7653.081,2.58E-12,2.17E-12
190,7652.878,2.92E-12,2.46E-12
200,7652.678,3.38E-12,2.86E-12
210,7652.481,3.67E-12,3.11E-12
220,7652.286,3.72E-12,3.16E-12
230,7652.095,3.73E-12,3.17E-12
240,7651.906,3.83E-12,3.27E-12
250,7651.72,4.02E-12,3.43E-12
260,7651.537,4.13E-12,3.53E-12
270,7651.356,4.12E-12,3.53E-12
280,7651.179,4.10E-12,3.50E-12
290,7651.004,4.23E-12,3.61E-12
300,7650.831,4.56E-12,3.89E-12
310,7650.662,5.04E-12,4.29E-12
320,7650.495,4.99E-12,4.24E-12
330,7650.33,4.85E-12,4.11E-12
340,7650.169,4.64E-12,3.93E-12
350,7650.01,4.57E-12,3.86E-12
360,7649.853,4.61E-12,3.88E-12
370,7649.699,4.61E-12,3.88E-12
380,7649.547,4.57E-12,3.84E-12
390,7649.398,4.53E-12,3.80E-12
400,7649.251,4.51E-12,3.78E-12
410,7649.107,4.42E-12,3.70E-12
420,7648.964,4.30E-12,3.60E-12
430,7648.824,4.30E-12,3.59E-12
440,7648.686,4.32E-12,3.61E-12
450,7648.551,4.37E-12,3.65E-12
460,7648.417,4.42E-12,3.68E-12
470,7648.285,4.46E-12,3.72E-12
480,7648.156,4.50E-12,3.75E-12
490,7648.028,4.49E-12,3.74E-12
500,7647.902,4.49E-12,3.74E-12
510,7647.779,4.42E-12,3.68E-12
520,7647.656,4.35E-12,3.62E-12
530,7647.536,4.31E-12,3.59E-12
540,7647.417,4.27E-12,3.55E-12
550,7647.3,4.24E-12,3.53E-12
560,7647.184,4.25E-12,3.53E-12
570,7647.07,4.26E-12,3.54E-12
580,7646.957,4.31E-12,3.58E-12
590,7646.845,4.36E-12,3.63E-12
600,7646.735,4.38E-12,3.64E-12
610,7646.625,4.37E-12,3.63E-12
620,7646.517,4.37E-12,3.64E-12
630,7646.409,4.40E-12,3.67E-12
640,7646.303,4.43E-12,3.70E-12
650,7646.197,4.45E-12,3.72E-12
660,7646.091,4.45E-12,3.72E-12
670,7645.987,4.44E-12,3.72E-12
680,7645.882,4.46E-12,3.73E-12
690,7645.779,4.49E-12,3.76E-12
700,7645.675,4.50E-12,3.77E-12
710,7645.572,4.50E-12,3.77E-12
720,7645.468,4.49E-12,3.78E-12
730,7645.365,4.48E-12,3.77E-12
740,7645.262,4.48E-12,3.77E-12
750,7645.158,4.50E-12,3.79E-12
760,7645.054,4.53E-12,3.82E-12
770,7644.95,4.57E-12,3.86E-12
780,7644.845,4.60E-12,3.89E-12
790,7644.74,4.61E-12,3.90E-12
800,7644.634,4.63E-12,3.92E-12
810,7644.527,4.66E-12,3.95E-12
820,7644.42,4.69E-12,3.98E-12
830,7644.311,4.72E-12,4.01E-12
840,7644.202,4.73E-12,4.02E-12
850,7644.091,4.74E-12,4.04E-12
860,7643.979,4.79E-12,4.08E-12
870,7643.866,4.82E-12,4.12E-12
880,7643.751,4.87E-12,4.16E-12
890,7643.635,4.91E-12,4.20E-12
900,7643.518,4.94E-12,4.23E-12
910,7643.399,4.96E-12,4.25E-12
920,7643.279,4.99E-12,4.28E-12
930,7643.158,5.02E-12,4.31E-12
940,7643.034,5.05E-12,4.34E-12
950,7642.909,5.09E-12,4.38E-12
960,7642.783,5.11E-12,4.40E-12
970,7642.654,5.14E-12,4.43E-12
980,7642.524,5.16E-12,4.45E-12
990,7642.391,5.18E-12,4.47E-12
1000,7642.256,5.21E-12,4.50E-12
1010,7642.119,5.23E-12,4.53E-12
1020,7641.98,5.25E-12,4.54E-12
1030,7641.838,5.25E-12,4.55E-12
1040,7641.693,5.25E-12,4.55E-12
1050,7641.546,5.25E-12,4.55E-12
1060,7641.397,5.24E-12,4.55E-12
1070,7641.245,5.22E-12,4.54E-12
1080,7641.09,5.21E-12,4.52E-12
1090,7640.932,5.19E-12,4.51E-12
1100,7640.771,5.16E-12,4.49E-12
1110,7640.608,5.13E-12,4.47E-12
1120,7640.442,5.11E-12,4.45E-12
1130,7640.272,5.09E-12,4.44E-12
1140,7640.1,5.07E-12,4.43E-12
1150,7639.924,5.06E-12,4.42E-12
1160,7639.746,5.03E-12,4.40E-12
1170,7639.564,5.02E-12,4.39E-12
1180,7639.379,5.01E-12,4.38E-12
1190,7639.191,5.00E-12,4.38E-12
1200,7639,4.99E-12,4.37E-12
1210,7638.805,4.98E-12,4.36E-12
1220,7638.607,4.97E-12,4.36E-12
1230,7638.405,4.95E-12,4.34E-12
1240,7638.2,4.93E-12,4.33E-12
1250,7637.992,4.90E-12,4.31E-12
1260,7637.78,4.88E-12,4.29E-12
1270,7637.564,4.84E-12,4.25E-12
1280,7637.345,4.79E-12,4.21E-12
1290,7637.123,4.74E-12,4.17E-12
1300,7636.897,4.68E-12,4.12E-12
1310,7636.668,4.66E-12,4.10E-12
1320,7636.435,4.62E-12,4.07E-12
1330,7636.198,4.59E-12,4.04E-12
1340,7635.958,4.56E-12,4.02E-12
1350,7635.715,4.53E-12,4.00E-12
1360,7635.468,4.51E-12,3.99E-12
1370,7635.217,4.49E-12,3.96E-12
1380,7634.963,4.46E-12,3.94E-12
1390,7634.706,4.43E-12,3.92E-12
1400,7634.445,4.39E-12,3.88E-12
1410,7634.18,4.36E-12,3.86E-12
1420,7633.912,4.34E-12,3.83E-12
1430,7633.641,4.30E-12,3.80E-12
1440,7633.366,4.28E-12,3.78E-12
1450,7633.089,4.26E-12,3.77E-12
1460,7632.807,4.25E-12,3.76E-12
1470,7632.523,4.23E-12,3.74E-12
1480,7632.235,4.20E-12,3.71E-12
1490,7631.945,4.17E-12,3.68E-12
1500,7631.651,4.14E-12,3.66E-12
1510,7631.354,4.11E-12,3.63E-12
1520,7631.054,4.09E-12,3.61E-12
1530,7630.752,4.07E-12,3.59E-12
1540,7630.446,4.04E-12,3.57E-12
1550,7630.137,4.02E-12,3.55E-12
1560,7629.826,4.00E-12,3.53E-12
1570,7629.512,3.98E-12,3.51E-12
1580,7629.195,3.96E-12,3.49E-12
1590,7628.875,3.94E-12,3.47E-12
1600,7628.553,3.92E-12,3.45E-12
1610,7628.228,3.90E-12,3.43E-12
1620,7627.901,3.87E-12,3.40E-12
1630,7627.571,3.84E-12,3.38E-12
1640,7627.239,3.81E-12,3.35E-12
1650,7626.904,3.80E-12,3.34E-12
1660,7626.567,3.79E-12,3.33E-12
1670,7626.228,3.77E-12,3.31E-12
1680,7625.887,3.76E-12,3.29E-12
1690,7625.544,3.73E-12,3.27E-12
1700,7625.199,3.71E-12,3.26E-12
1710,7624.853,3.71E-12,3.25E-12
1720,7624.504,3.71E-12,3.25E-12
1730,7624.154,3.71E-12,3.24E-12
1740,7623.803,3.71E-12,3.24E-12
1750,7623.45,3.69E-12,3.23E-12
1760,7623.096,3.69E-12,3.23E-12
1770,7622.74,3.69E-12,3.22E-12
1780,7622.384,3.69E-12,3.22E-12
1790,7622.026,3.69E-12,3.22E-12
1800,7621.668,3.70E-12,3.23E-12
1810,7621.309,3.71E-12,3.24E-12
1820,7620.949,3.72E-12,3.24E-12
1830,7620.589,3.73E-12,3.25E-12
1840,7620.228,3.75E-12,3.26E-12
1850,7619.867,3.76E-12,3.27E-12
1860,7619.506,3.77E-12,3.28E-12
1870,7619.145,3.79E-12,3.29E-12
1880,7618.783,3.80E-12,3.30E-12
1890,7618.422,3.81E-12,3.30E-12
1900,7618.061,3.82E-12,3.31E-12
1910,7617.701,3.82E-12,3.31E-12
1920,7617.341,3.83E-12,3.32E-12
1930,7616.981,3.84E-12,3.32E-12
1940,7616.622,3.85E-12,3.33E-12
1950,7616.265,3.85E-12,3.33E-12
1960,7615.908,3.85E-12,3.33E-12
1970,7615.552,3.85E-12,3.32E-12
1980,7615.198,3.84E-12,3.31E-12
1990,7614.845,3.83E-12,3.30E-12
2000,7614.493,3.83E-12,3.29E-12
2010,7614.144,3.80E-12,3.27E-12
2020,7613.796,3.76E-12,3.24E-12
2030,7613.45,3.72E-12,3.19E-12
2040,7613.107,3.68E-12,3.16E-12
2050,7612.765,3.67E-12,3.15E-12
2060,7612.427,3.66E-12,3.13E-12
2070,7612.091,3.64E-12,3.12E-12
2080,7611.757,3.63E-12,3.11E-12
2090,7611.427,3.64E-12,3.11E-12
2100,7611.099,3.60E-12,3.08E-12
2110,7610.775,3.62E-12,3.09E-12
2120,7610.453,3.64E-12,3.10E-12
2130,7610.136,3.64E-12,3.11E-12
2140,7609.821,3.65E-12,3.11E-12
2150,7609.511,3.65E-12,3.11E-12
2160,7609.204,3.64E-12,3.10E-12
2170,7608.901,3.61E-12,3.06E-12
2180,7608.602,3.56E-12,3.03E-12
2190,7608.307,3.51E-12,2.98E-12
2200,7608.017,3.47E-12,2.94E-12
2210,7607.731,3.44E-12,2.91E-12
2220,7607.45,3.43E-12,2.90E-12
2230,7607.173,3.44E-12,2.91E-12
2240,7606.901,3.47E-12,2.93E-12
2250,7606.635,3.50E-12,2.96E-12
2260,7606.373,3.54E-12,2.99E-12
2270,7606.117,3.57E-12,3.01E-12
2280,7605.866,3.58E-12,3.02E-12
2290,7605.62,3.55E-12,2.99E-12
2300,7605.38,3.47E-12,2.92E-12
2310,7605.146,3.34E-12,2.81E-12
2320,7604.917,3.17E-12,2.67E-12
2330,7604.695,3.03E-12,2.55E-12
2340,7604.478,2.93E-12,2.46E-12
2350,7604.268,2.91E-12,2.44E-12
2360,7604.064,2.93E-12,2.46E-12
2370,7603.867,2.97E-12,2.49E-12
2380,7603.676,3.01E-12,2.53E-12
2390,7603.492,3.04E-12,2.56E-12
2400,7603.315,3.08E-12,2.59E-12
2410,7603.145,3.11E-12,2.61E-12
2420,7602.982,3.13E-12,2.63E-12
2430,7602.826,3.14E-12,2.64E-12
2440,7602.677,3.16E-12,2.66E-12
2450,7602.535,3.18E-12,2.68E-12
2460,7602.401,3.20E-12,2.69E-12
2470,7602.275,3.22E-12,2.71E-12
2480,7602.156,3.23E-12,2.72E-12
2490,7602.045,3.25E-12,2.74E-12
2500,7601.942,3.24E-12,2.74E-12
2510,7601.846,3.24E-12,2.74E-12
2520,7601.759,3.24E-12,2.74E-12
2530,7601.68,3.25E-12,2.75E-12
2540,7601.609,3.29E-12,2.78E-12
2550,7601.546,3.34E-12,2.83E-12
2560,7601.492,3.40E-12,2.88E-12
2570,7601.446,3.46E-12,2.94E-12
2580,7601.408,3.54E-12,3.01E-12
2590,7601.379,3.61E-12,3.08E-12
2600,7601.358,3.68E-12,3.14E-12
2610,7601.346,3.74E-12,3.20E-12
2620,7601.343,3.80E-12,3.26E-12
2630,7601.348,3.84E-12,3.30E-12
2640,7601.362,3.85E-12,3.31E-12
2650,7601.385,3.85E-12,3.32E-12
2660,7601.416,3.84E-12,3.31E-12
2670,7601.456,3.82E-12,3.30E-12
2680,7601.506,3.78E-12,3.28E-12
2690,7601.564,3.71E-12,3.23E-12
2700,7601.631,3.63E-12,3.17E-12
2710,7601.707,3.55E-12,3.11E-12
2720,7601.793,3.50E-12,3.07E-12
2730,7601.887,3.45E-12,3.03E-12
2740,7601.99,3.41E-12,2.99E-12
2750,7602.103,3.37E-12,2.96E-12
2760,7602.225,3.34E-12,2.93E-12
2770,7602.356,3.33E-12,2.91E-12
2780,7602.496,3.33E-12,2.90E-12
2790,7602.645,3.35E-12,2.91E-12
2800,7602.803,3.38E-12,2.93E-12
2810,7602.971,3.41E-12,2.96E-12
2820,7603.148,3.45E-12,2.98E-12
2830,7603.334,3.47E-12,3.00E-12
2840,7603.529,3.48E-12,3.00E-12
2850,7603.733,3.47E-12,2.99E-12
2860,7603.946,3.46E-12,2.98E-12
2870,7604.169,3.43E-12,2.95E-12
2880,7604.4,3.40E-12,2.92E-12
2890,7604.641,3.38E-12,2.90E-12
2900,7604.891,3.37E-12,2.89E-12
2910,7605.149,3.37E-12,2.88E-12
2920,7605.417,3.37E-12,2.88E-12
2930,7605.694,3.37E-12,2.89E-12
2940,7605.979,3.37E-12,2.88E-12
2950,7606.274,3.37E-12,2.88E-12
2960,7606.577,3.40E-12,2.91E-12
2970,7606.889,3.43E-12,2.93E-12
2980,7607.21,3.46E-12,2.96E-12
2990,7607.539,3.48E-12,2.97E-12
3000,7607.877,3.52E-12,3.01E-12
3010,7608.223,3.60E-12,3.08E-12
3020,7608.578,3.71E-12,3.17E-12
3030,7608.942,3.81E-12,3.26E-12
3040,7609.313,3.90E-12,3.33E-12
3050,7609.693,3.96E-12,3.39E-12
3060,7610.081,3.98E-12,3.40E-12
3070,7610.477,3.99E-12,3.42E-12
3080,7610.881,4.02E-12,3.44E-12
3090,7611.292,4.07E-12,3.49E-12
3100,7611.712,4.16E-12,3.56E-12
3110,7612.139,4.28E-12,3.67E-12
3120,7612.574,4.41E-12,3.78E-12
3130,7613.017,4.51E-12,3.87E-12
3140,7613.466,4.58E-12,3.93E-12
3150,7613.924,4.64E-12,3.99E-12
3160,7614.388,4.73E-12,4.07E-12
3170,7614.859,4.86E-12,4.18E-12
3180,7615.338,5.02E-12,4.32E-12
3190,7615.823,5.20E-12,4.48E-12
3200,7616.315,5.37E-12,4.64E-12
3210,7616.813,5.52E-12,4.77E-12
3220,7617.318,5.62E-12,4.85E-12
3230,7617.829,5.69E-12,4.92E-12
3240,7618.346,5.75E-12,4.98E-12
3250,7618.87,5.84E-12,5.06E-12
3260,7619.399,5.96E-12,5.17E-12
3270,7619.933,6.08E-12,5.28E-12
3280,7620.474,6.18E-12,5.37E-12
3290,7621.019,6.26E-12,5.45E-12
3300,7621.57,6.33E-12,5.51E-12
3310,7622.126,6.37E-12,5.56E-12
3320,7622.687,6.43E-12,5.61E-12
3330,7623.252,6.49E-12,5.67E-12
3340,7623.823,6.57E-12,5.75E-12
3350,7624.398,6.67E-12,5.84E-12
3360,7624.977,6.76E-12,5.92E-12
3370,7625.56,6.85E-12,6.00E-12
3380,7626.147,6.93E-12,6.08E-12
3390,7626.738,7.01E-12,6.16E-12
3400,7627.333,7.10E-12,6.24E-12
3410,7627.932,7.19E-12,6.33E-12
3420,7628.533,7.28E-12,6.41E-12
3430,7629.138,7.38E-12,6.50E-12
3440,7629.746,7.46E-12,6.57E-12
3450,7630.357,7.53E-12,6.65E-12
3460,7630.97,7.61E-12,6.71E-12
3470,7631.586,7.69E-12,6.79E-12
3480,7632.204,7.77E-12,6.87E-12
3490,7632.824,7.88E-12,6.97E-12
3500,7633.447,8.00E-12,7.08E-12
3510,7634.071,8.13E-12,7.20E-12
3520,7634.696,8.25E-12,7.30E-12
3530,7635.323,8.35E-12,7.40E-12
3540,7635.951,8.44E-12,7.48E-12
3550,7636.581,8.54E-12,7.58E-12
3560,7637.211,8.65E-12,7.68E-12
3570,7637.842,8.76E-12,7.78E-12
3580,7638.473,8.85E-12,7.86E-12
3590,7639.105,8.96E-12,7.96E-12
3600,7639.737,9.07E-12,8.06E-12
3610,7640.368,9.17E-12,8.15E-12
3620,7641,9.27E-12,8.24E-12
3630,7641.631,9.37E-12,8.33E-12
3640,7642.261,9.48E-12,8.43E-12
3650,7642.891,9.60E-12,8.54E-12
3660,7643.52,9.72E-12,8.65E-12
3670,7644.148,9.83E-12,8.75E-12
3680,7644.774,9.95E-12,8.86E-12
3690,7645.399,1.01E-11,8.97E-12
3700,7646.022,1.02E-11,9.08E-12
3710,7646.643,1.03E-11,9.19E-12
3720,7647.262,1.04E-11,9.31E-12
3730,7647.879,1.06E-11,9.42E-12
3740,7648.494,1.07E-11,9.52E-12
3750,7649.106,1.08E-11,9.63E-12
3760,7649.716,1.09E-11,9.74E-12
3770,7650.322,1.11E-11,9.86E-12
3780,7650.926,1.12E-11,9.96E-12
3790,7651.526,1.13E-11,1.01E-11
3800,7652.123,1.14E-11,1.02E-11
3810,7652.716,1.15E-11,1.03E-11
3820,7653.306,1.17E-11,1.04E-11
3830,7653.892,1.18E-11,1.05E-11
3840,7654.473,1.19E-11,1.06E-11
3850,7655.051,1.20E-11,1.07E-11
3860,7655.624,1.22E-11,1.09E-11
3870,7656.193,1.22E-11,1.09E-11
3880,7656.757,1.24E-11,1.10E-11
3890,7657.316,1.25E-11,1.11E-11
3900,7657.871,1.26E-11,1.12E-11
3910,7658.42,1.27E-11,1.13E-11
3920,7658.964,1.28E-11,1.14E-11
3930,7659.503,1.29E-11,1.15E-11
3940,7660.036,1.30E-11,1.16E-11
3950,7660.563,1.31E-11,1.16E-11
3960,7661.085,1.32E-11,1.17E-11
3970,7661.601,1.32E-11,1.18E-11
3980,7662.11,1.33E-11,1.19E-11
3990,7662.614,1.34E-11,1.20E-11
4000,7663.111,1.35E-11,1.20E-11
4010,7663.602,1.35E-11,1.21E-11
4020,7664.086,1.36E-11,1.21E-11
4030,7664.563,1.37E-11,1.22E-11
4040,7665.034,1.38E-11,1.23E-11
4050,7665.498,1.38E-11,1.23E-11
4060,7665.954,1.39E-11,1.24E-11
4070,7666.404,1.39E-11,1.24E-11
4080,7666.846,1.39E-11,1.24E-11
4090,7667.281,1.39E-11,1.24E-11
4100,7667.709,1.39E-11,1.24E-11
4110,7668.129,1.40E-11,1.24E-11
4120,7668.542,1.40E-11,1.25E-11
4130,7668.947,1.40E-11,1.25E-11
4140,7669.344,1.40E-11,1.25E-11
4150,7669.733,1.40E-11,1.25E-11
4160,7670.114,1.40E-11,1.25E-11
4170,7670.488,1.41E-11,1.25E-11
4180,7670.853,1.41E-11,1.26E-11
4190,7671.21,1.42E-11,1.26E-11
4200,7671.559,1.42E-11,1.26E-11
4210,7671.9,1.43E-11,1.27E-11
4220,7672.232,1.43E-11,1.28E-11
4230,7672.556,1.44E-11,1.28E-11
4240,7672.872,1.44E-11,1.28E-11
4250,7673.179,1.45E-11,1.29E-11
4260,7673.478,1.45E-11,1.29E-11
4270,7673.768,1.45E-11,1.29E-11
4280,7674.049,1.46E-11,1.30E-11
4290,7674.322,1.46E-11,1.30E-11
4300,7674.586,1.47E-11,1.31E-11
4310,7674.841,1.47E-11,1.31E-11
4320,7675.088,1.48E-11,1.31E-11
4330,7675.325,1.48E-11,1.32E-11
4340,7675.554,1.49E-11,1.32E-11
4350,7675.775,1.49E-11,1.32E-11
4360,7675.986,1.49E-11,1.32E-11
4370,7676.189,1.49E-11,1.33E-11
4380,7676.383,1.50E-11,1.33E-11
4390,7676.567,1.50E-11,1.33E-11
4400,7676.744,1.51E-11,1.34E-11
4410,7676.911,1.51E-11,1.34E-11
4420,7677.069,1.52E-11,1.35E-11
4430,7677.219,1.52E-11,1.35E-11
4440,7677.36,1.53E-11,1.36E-11
4450,7677.492,1.54E-11,1.36E-11
4460,7677.616,1.54E-11,1.37E-11
4470,7677.73,1.55E-11,1.37E-11
4480,7677.836,1.55E-11,1.37E-11
4490,7677.934,1.55E-11,1.37E-11
4500,7678.022,1.55E-11,1.37E-11
4510,7678.103,1.55E-11,1.37E-11
4520,7678.174,1.55E-11,1.37E-11
4530,7678.237,1.55E-11,1.37E-11
4540,7678.292,1.56E-11,1.37E-11
4550,7678.338,1.56E-11,1.38E-11
4560,7678.376,1.56E-11,1.37E-11
4570,7678.406,1.56E-11,1.37E-11
4580,7678.427,1.55E-11,1.37E-11
4590,7678.44,1.56E-11,1.37E-11
4600,7678.445,1.56E-11,1.37E-11
4610,7678.442,1.55E-11,1.37E-11
4620,7678.431,1.55E-11,1.36E-11
4630,7678.412,1.55E-11,1.36E-11
4640,7678.385,1.55E-11,1.36E-11
4650,7678.351,1.55E-11,1.36E-11
4660,7678.308,1.55E-11,1.36E-11
4670,7678.258,1.55E-11,1.36E-11
4680,7678.2,1.54E-11,1.35E-11
4690,7678.135,1.54E-11,1.35E-11
4700,7678.063,1.53E-11,1.34E-11
4710,7677.983,1.53E-11,1.34E-11
4720,7677.897,1.52E-11,1.33E-11
4730,7677.803,1.52E-11,1.32E-11
4740,7677.702,1.51E-11,1.32E-11
4750,7677.595,1.50E-11,1.31E-11
4760,7677.481,1.50E-11,1.30E-11
4770,7677.36,1.49E-11,1.30E-11
4780,7677.233,1.48E-11,1.29E-11
4790,7677.1,1.48E-11,1.28E-11
4800,7676.96,1.47E-11,1.27E-11
4810,7676.815,1.46E-11,1.27E-11
4820,7676.663,1.45E-11,1.26E-11
4830,7676.506,1.44E-11,1.25E-11
4840,7676.343,1.44E-11,1.24E-11
4850,7676.174,1.43E-11,1.23E-11
4860,7676,1.42E-11,1.22E-11
4870,7675.82,1.41E-11,1.22E-11
4880,7675.635,1.40E-11,1.21E-11
4890,7675.445,1.39E-11,1.20E-11
4900,7675.25,1.38E-11,1.19E-11
4910,7675.05,1.37E-11,1.18E-11
4920,7674.845,1.36E-11,1.17E-11
4930,7674.635,1.35E-11,1.16E-11
4940,7674.421,1.34E-11,1.15E-11
4950,7674.203,1.32E-11,1.14E-11
4960,7673.98,1.31E-11,1.13E-11
4970,7673.753,1.30E-11,1.12E-11
4980,7673.522,1.28E-11,1.10E-11
4990,7673.287,1.27E-11,1.09E-11
5000,7673.049,1.27E-11,1.09E-11
5010,7672.806,1.24E-11,1.07E-11
5020,7672.56,1.22E-11,1.05E-11
5030,7672.31,1.21E-11,1.04E-11
5040,7672.057,1.19E-11,1.02E-11
5050,7671.801,1.18E-11,1.01E-11
5060,7671.542,1.16E-11,9.97E-12
5070,7671.281,1.15E-11,9.83E-12
5080,7671.016,1.13E-11,9.70E-12
5090,7670.749,1.11E-11,9.55E-12
5100,7670.479,1.10E-11,9.41E-12
5110,7670.207,1.08E-11,9.28E-12
5120,7669.933,1.07E-11,9.14E-12
5130,7669.656,1.05E-11,9.00E-12
5140,7669.378,1.03E-11,8.84E-12
5150,7669.097,1.01E-11,8.66E-12
5160,7668.815,9.92E-12,8.50E-12
5170,7668.531,9.71E-12,8.32E-12
5180,7668.246,9.51E-12,8.14E-12
5190,7667.959,9.29E-12,7.94E-12
5200,7667.671,9.11E-12,7.79E-12
5210,7667.382,8.92E-12,7.62E-12
5220,7667.092,8.74E-12,7.47E-12
5230,7666.802,8.58E-12,7.33E-12
5240,7666.51,8.43E-12,7.20E-12
5250,7666.218,8.29E-12,7.07E-12
5260,7665.925,8.15E-12,6.95E-12
5270,7665.633,8.03E-12,6.85E-12
5280,7665.339,7.93E-12,6.76E-12
5290,7665.046,7.83E-12,6.68E-12
5300,7664.753,7.74E-12,6.59E-12
5310,7664.46,7.65E-12,6.51E-12
5320,7664.167,7.57E-12,6.44E-12
5330,7663.875,7.50E-12,6.38E-12
5340,7663.583,7.45E-12,6.33E-12
5350,7663.291,7.42E-12,6.30E-12
5360,7663,7.39E-12,6.28E-12
5370,7662.71,7.39E-12,6.27E-12
5380,7662.421,7.39E-12,6.27E-12
5390,7662.133,7.42E-12,6.29E-12
5400,7661.846,7.41E-12,6.28E-12
5410,7661.56,7.40E-12,6.26E-12
5420,7661.276,7.39E-12,6.25E-12
5430,7660.993,7.41E-12,6.26E-12
5440,7660.711,7.44E-12,6.28E-12
5450,7660.431,7.40E-12,6.24E-12
5460,7660.152,7.22E-12,6.09E-12
5470,7659.875,6.99E-12,5.89E-12
5480,7659.6,6.79E-12,5.72E-12
5490,7659.327,6.69E-12,5.63E-12
5500,7659.056,6.62E-12,5.57E-12
5510,7658.787,6.40E-12,5.38E-12
5520,7658.52,6.18E-12,5.18E-12
5530,7658.255,6.05E-12,5.08E-12
5540,7657.992,5.89E-12,4.94E-12
5550,7657.732,5.70E-12,4.78E-12
5560,7657.474,5.55E-12,4.64E-12
5570,7657.218,5.41E-12,4.52E-12
5580,7656.965,5.26E-12,4.39E-12
5590,7656.714,5.16E-12,4.31E-12
5600,7656.466,5.00E-12,4.17E-12
5610,7656.22,4.87E-12,4.06E-12
5620,7655.977,4.86E-12,4.05E-12
5630,7655.736,4.93E-12,4.10E-12
5640,7655.498,4.93E-12,4.10E-12
5650,7655.263,4.82E-12,4.01E-12
5660,7655.031,4.65E-12,3.87E-12
5670,7654.801,4.52E-12,3.76E-12
5680,7654.574,4.47E-12,3.72E-12
5690,7654.35,4.44E-12,3.69E-12
5700,7654.129,4.43E-12,3.68E-12
5710,7653.911,4.43E-12,3.68E-12
5720,7653.695,4.42E-12,3.67E-12
5730,7653.483,4.33E-12,3.60E-12
5740,7653.273,4.24E-12,3.52E-12
5750,7653.066,4.28E-12,3.55E-12
5760,7652.863,4.43E-12,3.68E-12
5770,7652.662,4.47E-12,3.71E-12
5780,7652.463,4.24E-12,3.52E-12
5790,7652.268,3.98E-12,3.30E-12
5800,7652.076,3.85E-12,3.20E-12
5810,7651.886,3.80E-12,3.16E-12
5820,7651.7,3.73E-12,3.10E-12
5830,7651.516,3.64E-12,3.03E-12
5840,7651.335,3.62E-12,3.02E-12
5850,7651.157,3.69E-12,3.08E-12
5860,7650.982,3.79E-12,3.16E-12
5870,7650.81,3.89E-12,3.25E-12
5880,7650.64,3.96E-12,3.31E-12
5890,7650.473,3.99E-12,3.34E-12
5900,7650.309,3.98E-12,3.33E-12
5910,7650.148,3.92E-12,3.29E-12
5920,7649.988,3.88E-12,3.26E-12
5930,7649.832,3.87E-12,3.25E-12
5940,7649.678,3.92E-12,3.30E-12
5950,7649.526,4.01E-12,3.38E-12
5960,7649.377,4.11E-12,3.47E-12
5970,7649.23,4.15E-12,3.51E-12
5980,7649.085,4.18E-12,3.54E-12
5990,7648.943,4.23E-12,3.58E-12
6000,7648.803,4.28E-12,3.64E-12
6010,7648.666,4.36E-12,3.71E-12
6020,7648.53,4.34E-12,3.70E-12
6030,7648.397,4.35E-12,3.71E-12
6040,7648.265,4.30E-12,3.68E-12
6050,7648.136,4.27E-12,3.66E-12
6060,7648.008,4.24E-12,3.63E-12
6070,7647.883,4.28E-12,3.67E-12
6080,7647.759,4.33E-12,3.71E-12
6090,7647.637,4.35E-12,3.72E-12
6100,7647.517,4.32E-12,3.70E-12
6110,7647.398,4.28E-12,3.66E-12
6120,7647.281,4.26E-12,3.64E-12
6130,7647.165,4.22E-12,3.61E-12
6140,7647.051,4.22E-12,3.61E-12
6150,7646.938,4.23E-12,3.62E-12
6160,7646.827,4.26E-12,3.64E-12
6170,7646.716,4.29E-12,3.67E-12
6180,7646.607,4.31E-12,3.69E-12
6190,7646.498,4.34E-12,3.71E-12
6200,7646.391,4.36E-12,3.73E-12
6210,7646.284,4.38E-12,3.75E-12
6220,7646.179,4.41E-12,3.77E-12
6230,7646.074,4.44E-12,3.80E-12
6240,7645.969,4.46E-12,3.82E-12
6250,7645.865,4.49E-12,3.84E-12
6260,7645.762,4.52E-12,3.86E-12
6270,7645.659,4.55E-12,3.88E-12
6280,7645.556,4.57E-12,3.89E-12
6290,7645.453,4.58E-12,3.90E-12
6300,7645.351,4.60E-12,3.91E-12
6310,7645.248,4.61E-12,3.91E-12
6320,7645.146,4.62E-12,3.92E-12
6330,7645.043,4.62E-12,3.92E-12
6340,7644.94,4.62E-12,3.91E-12
6350,7644.837,4.62E-12,3.91E-12
6360,7644.733,4.63E-12,3.91E-12
6370,7644.629,4.64E-12,3.92E-12
6380,7644.524,4.64E-12,3.92E-12
6390,7644.419,4.64E-12,3.91E-12
