360.000	391.445	-17.941	-84.072	  18.492	7664.834	300.000	1017.926	-0.097	-0.009	0.822	2.923	3.494e-12	1.029	2.662	3.065e-12
370.000	391.207	-17.289	-84.080	  18.494	7665.121	300.000	1017.518	-0.097	-0.009	0.822	2.922	3.511e-12	1.029	2.662	3.079e-12
380.000	390.972	-16.637	-84.088	  18.496	7665.404	300.000	1017.109	-0.096	-0.009	0.822	2.922	3.531e-12	1.029	2.662	3.097e-12
390.000	390.741	-15.984	-84.095	  18.498	7665.681	300.000	1016.699	-0.096	-0.009	0.821	2.922	3.546e-12	1.028	2.662	3.109e-12
400.000	390.514	-15.332	-84.104	  18.501	7665.954	300.000	1016.288	-0.096	-0.009	0.821	2.922	3.560e-12	1.028	2.662	3.121e-12
410.000	390.291	-14.679	-84.112	  18.503	7666.222	300.000	1015.877	-0.096	-0.009	0.820	2.923	3.580e-12	1.027	2.662	3.138e-12
420.000	390.071	-14.027	-84.120	  18.505	7666.486	300.000	1015.465	-0.096	-0.009	0.819	2.924	3.609e-12	1.027	2.662	3.163e-12
430.000	389.855	-13.374	-84.129	  18.507	7666.744	300.000	1015.054	-0.096	-0.009	0.819	2.924	3.643e-12	1.026	2.663	3.192e-12
440.000	389.643	-12.721	-84.138	  18.509	7666.997	300.000	1014.643	-0.095	-0.009	0.818	2.925	3.669e-12	1.025	2.663	3.214e-12
450.000	389.435	-12.068	-84.147	  18.512	7667.244	300.000	1014.231	-0.095	-0.009	0.817	2.926	3.691e-12	1.025	2.663	3.233e-12
460.000	389.232	-11.415	-84.156	  18.514	7667.487	300.000	1013.820	-0.095	-0.009	0.816	2.927	3.702e-12	1.024	2.664	3.242e-12
470.000	389.032	-10.762	-84.166	  18.516	7667.724	300.000	1013.409	-0.095	-0.009	0.815	2.929	3.702e-12	1.024	2.664	3.241e-12
480.000	388.837	-10.109	-84.175	  18.518	7667.956	300.000	1012.999	-0.094	-0.009	0.814	2.931	3.683e-12	1.023	2.665	3.224e-12
490.000	388.646	 -9.456	-84.185	  18.520	7668.183	300.000	1012.587	-0.094	-0.009	0.813	2.933	3.674e-12	1.022	2.665	3.215e-12
500.000	388.459	 -8.803	-84.195	  18.522	7668.403	300.000	1012.176	-0.094	-0.009	0.812	2.935	3.675e-12	1.022	2.666	3.216e-12
510.000	388.277	 -8.150	-84.205	  18.524	7668.619	300.000	1011.764	-0.094	-0.009	0.811	2.937	3.695e-12	1.021	2.666	3.232e-12
520.000	388.099	 -7.496	-84.215	  18.527	7668.829	300.000	1011.350	-0.093	-0.009	0.809	2.940	3.731e-12	1.020	2.667	3.263e-12
530.000	387.925	 -6.843	-84.225	  18.529	7669.033	300.000	1010.935	-0.093	-0.009	0.808	2.942	3.771e-12	1.019	2.667	3.297e-12
540.000	387.756	 -6.189	-84.235	  18.531	7669.231	300.000	1010.518	-0.093	-0.009	0.807	2.945	3.803e-12	1.019	2.668	3.324e-12
550.000	387.592	 -5.536	-84.245	  18.533	7669.423	300.000	1010.098	-0.092	-0.008	0.805	2.947	3.826e-12	1.018	2.669	3.344e-12
560.000	387.432	 -4.883	-84.255	  18.535	7669.610	300.000	1009.674	-0.092	-0.008	0.804	2.950	3.842e-12	1.017	2.670	3.356e-12
570.000	387.276	 -4.229	-84.266	  18.537	7669.791	300.000	1009.247	-0.092	-0.008	0.802	2.954	3.853e-12	1.016	2.670	3.365e-12
580.000	387.126	 -3.575	-84.276	  18.539	7669.966	300.000	1008.815	-0.091	-0.008	0.801	2.957	3.845e-12	1.015	2.671	3.357e-12
590.000	386.980	 -2.922	-84.286	  18.541	7670.135	300.000	1008.378	-0.091	-0.008	0.799	2.961	3.826e-12	1.014	2.672	3.339e-12
600.000	386.839	 -2.268	-84.297	  18.543	7670.298	300.000	1007.935	-0.091	-0.008	0.797	2.965	3.806e-12	1.014	2.673	3.321e-12
610.000	386.702	 -1.614	-84.307	  18.545	7670.455	300.000	1007.485	-0.090	-0.008	0.796	2.969	3.786e-12	1.013	2.674	3.303e-12
620.000	386.570	 -0.961	-84.318	  18.547	7670.605	300.000	1007.027	-0.090	-0.007	0.794	2.973	3.774e-12	1.012	2.674	3.291e-12
630.000	386.443	 -0.307	-84.328	  18.549	7670.750	300.000	1006.561	-0.089	-0.007	0.792	2.977	3.769e-12	1.011	2.676	3.286e-12
640.000	386.321	  0.347	-84.339	  18.552	7670.889	300.000	1006.100	-0.089	-0.007	0.790	2.982	3.766e-12	1.010	2.677	3.282e-12
650.000	386.204	  1.001	-84.350	  18.554	7671.021	300.000	1005.644	-0.088	-0.007	0.788	2.987	3.778e-12	1.009	2.678	3.291e-12
660.000	386.091	  1.654	-84.360	  18.556	7671.147	300.000	1005.177	-0.088	-0.007	0.786	2.992	3.794e-12	1.008	2.679	3.304e-12
670.000	385.983	  2.308	-84.371	  18.558	7671.267	300.000	1004.698	-0.088	-0.007	0.784	2.997	3.819e-12	1.007	2.680	3.324e-12
680.000	385.881	  2.962	-84.381	  18.560	7671.381	300.000	1004.207	-0.087	-0.006	0.782	3.002	3.826e-12	1.006	2.681	3.329e-12
690.000	385.783	  3.616	-84.391	  18.562	7671.489	300.000	1003.703	-0.087	-0.006	0.779	3.008	3.810e-12	1.005	2.683	3.314e-12
700.000	385.689	  4.270	-84.402	  18.564	7671.590	300.000	1003.185	-0.086	-0.006	0.777	3.014	3.791e-12	1.004	2.684	3.296e-12
