epoch,R,loss,lr,val_R,val_loss
0,0.8809261025436442,0.2574797176483809,0.001,0.1557120429160558,0.3905453544773468
1,0.8933913498078211,0.21346109226625662,0.001,0.19735518137490607,0.27307479840843646
2,0.8950942127059036,0.20746170397418434,0.001,0.16963943943687498,0.33389328868217666
3,0.8968625660236655,0.2029453269438194,0.001,0.17745761673846475,0.2661033140214747
4,0.8984196837402221,0.20076838698208171,0.001,0.183452269854343,0.2698855037150318
5,0.8990751751626145,0.19812263104934794,0.001,0.21130642894661844,0.24825257963615738
6,0.8996286156350103,0.196418465238474,0.001,0.19151960604422252,0.2634071141073149
7,0.9009675317091852,0.19385336134133327,0.001,0.18689822502536316,0.2637293522412034
8,0.9047607198157834,0.18249786052323538,0.000100000005,0.22322214060042003,0.2520060437693171
9,0.9063172027189035,0.17982196590935576,0.000100000005,0.22051143566376133,0.26212554792427034
10,0.9070938132084088,0.17791055076563325,1.0000001e-05,0.22519740373763728,0.25397795670959233
11,0.9067751929843074,0.17833534154751346,1.0000001e-05,0.22710988072882574,0.2526087935350529
12,0.9079219590882514,0.17719772939068382,1.0000001e-06,0.22690380623895828,0.25299794803539366
13,0.9071698131574063,0.17731112455474787,1.0000001e-06,0.22684457985148446,0.253153234791674
14,0.9075889850110215,0.17708890049770754,1.0000001e-07,0.22683445912824102,0.2531620782634167
15,0.9076142875183044,0.17750877849058555,1.0000001e-07,0.22683018064509108,0.25318042542019936
