epoch,acc,loss,lr,val_acc,val_loss
0,4.9850448654037884e-05,0.011562170295447765,0.001,0.000117096018735363,0.003083177683171565
1,4.9850448654037884e-05,0.005427426772780813,0.001,0.000117096018735363,0.0028088538143543887
2,4.9850448654037884e-05,0.0036960004365066083,0.001,0.000117096018735363,0.002190908892465967
3,4.9850448654037884e-05,0.0026947031288100396,0.001,0.000117096018735363,0.001861160205843732
4,4.9850448654037884e-05,0.002207057888653029,0.001,0.000117096018735363,0.0016826988902216694
