epoch,R,loss,lr,val_R,val_loss
0,0.88147994079315,0.2593400043073352,0.001,0.14839965443905087,0.2595158564105426
1,0.8922119590616099,0.21486606254334745,0.001,0.1943726128643404,0.3150993175090176
2,0.8958615049919558,0.20729455832821433,0.001,0.16606978115829804,0.2783919626821394
3,0.9010261839899876,0.1898918247494557,0.000100000005,0.2125741313020252,0.24553463325823008
4,0.9027663777724667,0.18689522893435195,0.000100000005,0.22626774110512374,0.24976588458537238
5,0.902956693869174,0.18576808239435702,0.000100000005,0.23522535369616665,0.24744884007393497
6,0.9034536532038978,0.18504760756729116,1.0000001e-05,0.23817644018730888,0.24510580810577903
7,0.9040174808003627,0.18375389949885515,1.0000001e-05,0.2378703345965645,0.2442835833979388
8,0.9036112302429874,0.18432253814095148,1.0000001e-05,0.23814226498138413,0.2462707809644611
9,0.9044269756721108,0.1837487640473542,1.0000001e-05,0.236116352081554,0.2449537248746173
10,0.9038694532882752,0.18363046062855554,1.0000001e-06,0.23669197894505237,0.24446225576102734
11,0.9041039146942363,0.1839757534358201,1.0000001e-06,0.2368933609201994,0.24440611137510979
12,0.904115964068804,0.1835661923677608,1.0000001e-07,0.2369217750265531,0.24440100381329452
13,0.9039802105752777,0.1840743155965217,1.0000001e-07,0.23694442994063336,0.24438978541795522
14,0.9035115153476316,0.18368223772931036,1.0000001e-08,0.2369449318316446,0.24439075250841982
15,0.9045139271516263,0.18310094999084522,1.0000001e-08,0.2369482807789559,0.24438909120755653
16,0.9044903716197282,0.18324093302517092,1.0000001e-09,0.23694851173929973,0.2443891085480174
17,0.9037753726777698,0.1838188866827507,1.0000001e-09,0.23694865964608242,0.2443892372491425
