epoch,R,loss,lr,val_R,val_loss
0,0.8813077062767888,0.25695845483934593,0.001,0.11270014320640531,0.2652090471288929
1,0.8931769497273115,0.21328217166678196,0.001,0.20491654190349662,0.26978366272906734
2,0.8959537694025934,0.20597179633123305,0.001,0.16900177361596733,0.2516099922256927
3,0.8976020178909916,0.20205038506287992,0.001,0.18723011485186136,0.43125669251974313
4,0.8988823304866658,0.19968163407839654,0.001,0.19512192872289108,0.31479521168217267
5,0.9018063717808864,0.1874197181204369,0.000100000005,0.22392344070033948,0.24436120036734293
6,0.9038169792765907,0.18461989640550383,0.000100000005,0.22404020747986353,0.24900199821958804
7,0.904266890699678,0.1838447868584308,0.000100000005,0.24007564661641642,0.2420274089766692
8,0.9048934123151743,0.1827329643610016,0.000100000005,0.23361056263571325,0.25201047887540845
9,0.9050333159219164,0.1819049143919037,0.000100000005,0.2267216003104432,0.24717124535204613
10,0.9063229275133271,0.1804921231225093,1.0000001e-05,0.22985734343528746,0.24860695852094317
11,0.9059667721510573,0.17992588506946613,1.0000001e-05,0.23190720736572187,0.24719441350396365
12,0.9058343493906487,0.18006667258272863,1.0000001e-06,0.23143284723979152,0.2479569160162586
13,0.9063321816058325,0.1795758584948711,1.0000001e-06,0.23114244637832249,0.24836839504846156
14,0.905803306396781,0.18031094145359366,1.0000001e-07,0.23112936292404998,0.24839681928900822
15,0.9069985429019775,0.17933184479940034,1.0000001e-07,0.23112469928925986,0.24840986983825084
16,0.9057288185201445,0.18016663278395625,1.0000001e-08,0.23112456543396598,0.24841132108377267
17,0.90647155599364,0.17983873175711798,1.0000001e-08,0.23112428009714167,0.2484137600364342
