epoch,R,loss,lr,val_R,val_loss
0,0.8810820866525972,0.24132074279056479,0.001,0.13966047422041836,0.28220519572496416
1,0.8937020676704898,0.2115966622695207,0.001,0.187243130218799,0.3848241785515661
2,0.8958833744314976,0.2051473132886452,0.001,0.21422696348330747,0.28598760765505166
3,0.9002061522358544,0.19145852330542762,0.000100000005,0.22116110396303543,0.2455177847653219
4,0.9016919583481694,0.18895670706081646,0.000100000005,0.23157950376147685,0.24095596816543846
5,0.9017600790425216,0.18846754475668992,0.000100000005,0.2258557267748585,0.24553437362590882
6,0.902125495432529,0.18795549798427255,0.000100000005,0.22972156211912428,0.24567974775213086
7,0.902787993996137,0.1862902922860419,1.0000001e-05,0.23111809356367752,0.2441145694521192
8,0.9025823908900448,0.18608145760147565,1.0000001e-05,0.23051657525133595,0.24496376269994533
9,0.9025241570242608,0.18595854855734287,1.0000001e-06,0.23086636727803375,0.24454047649792612
10,0.9030503668030849,0.18585219629328628,1.0000001e-06,0.23095156636650432,0.2445937340084004
11,0.9032901248407748,0.1859646950905828,1.0000001e-07,0.23094796839438073,0.24458972413143884
12,0.9030871250354573,0.18570919338883407,1.0000001e-07,0.23095491827554898,0.24458991259540597
13,0.902880229802937,0.1856548456979501,1.0000001e-08,0.23095530720606242,0.24459004819597283
14,0.9022220580891054,0.18582500216149134,1.0000001e-08,0.23095561006195742,0.24458958421872087
