epoch,loss,lr,val_loss
0,0.007791703226751865,0.001,0.001440504136795787
1,0.003833063950737646,0.001,0.000991016831073573
2,0.0033522688863772353,0.001,0.0008113713089665357
3,0.0033466456947985166,0.001,0.0007674500647334513
4,0.0032503110422436635,0.001,0.0007364376443944147
5,0.003105843860699812,0.001,0.0006995788774885168
6,0.0030143377998109702,0.001,0.000827253462459793
