epoch,R,loss,lr,val_R,val_loss
0,0.8815643240755109,0.2573291882912531,0.001,0.12947157037839907,0.26990862248899183
1,0.8936839868172244,0.21321358423450357,0.001,0.2121411519048557,0.24494669353716994
2,0.8954008987058584,0.207691198004155,0.001,0.19871836676412225,0.26548102230650106
3,0.897545085675595,0.20173117853201747,0.001,0.1626458503216607,0.2783825498737701
4,0.9014771037702586,0.18898664279853372,0.000100000005,0.22188875505777256,0.24440237976712723
5,0.903188710014558,0.18662160519140975,0.000100000005,0.22904514866332484,0.24705210714409612
6,0.9031971899178328,0.18549765044818295,0.000100000005,0.23438519620119708,0.24954531481106804
7,0.9044733206004943,0.18354512592902453,1.0000001e-05,0.23539873640218825,0.2449469141968309
8,0.9039700137705969,0.18341967910927678,1.0000001e-05,0.23553711633670005,0.2459474628306415
9,0.9043224832327692,0.1832641133234584,1.0000001e-06,0.23581278899761096,0.24547063419978096
10,0.9039452491113392,0.18374318033057307,1.0000001e-06,0.2360638964512985,0.24520576319670023
11,0.904733245781855,0.18327585972505983,1.0000001e-07,0.2360658205688408,0.24521526645817984
12,0.9042075064802297,0.18302785348316938,1.0000001e-07,0.2360611012486154,0.24519930289012112
13,0.904156295096267,0.18350454512334383,1.0000001e-08,0.23606220172488526,0.24519799692581778
14,0.9042609909264715,0.18340675508049153,1.0000001e-08,0.23606497975040788,0.24519536395187247
